suburb_name,postcode,state_code,location_code,country_code
Ambarvale,2560,NSW,SYD,AU
American Beach,5222,SA,MEL,AU
AMPILATWATJA,872,VIC,MEL,AU
Ando,2631,NSW,BEG,AU
Angas Valley,5238,SA,ADE,AU
Anglesea,3230,VIC,GEEL,AU
Anna Bay,2316,NSW,NEWC,AU
Anstead,4070,QLD,BNE,AU
Apamurra,5237,SA,ADE,AU
Applecross,6953,WA,MEL,AU
Applecross North,6153,WA,MEL,AU
ARALUEN,870,VIC,MEL,AU
Aramara,4620,QLD,BNE,AU
Arapiles,3409,VIC,HOR,AU
Arawata,3951,VIC,GPS,AU
Arcadia South,3631,VIC,SHEP,AU
Arcadia Vale,2283,NSW,NEWC,AU
Archer,0830,NT,,AU
Argyll,4721,QLD,BNE,AU
Arkell,2795,NSW,CWT,AU
Armagh,5453,SA,MEL,AU
Arnold West,3551,VIC,BEN,AU
Arrino,6519,WA,MEL,AU
Arrowsmith East,6519,WA,MEL,AU
Arthurs Creek,3099,VIC,YEA,AU
Arumbera,0870,NT,,AU
Ashburton,3147,VIC,MEL,AU
Ashcroft,2168,NSW,SYD,AU
Ashfield,4670,QLD,BNE,AU
Ashford,5035,SA,ADE,AU
Athlone,3818,VIC,GPS,AU
Auburn,2144,NSW,SYD,AU
Auburn,3123,VIC,MEL,AU
Auburn South,3122,VIC,MEL,AU
Australia Square,1210,NSW,SYD,AU
Australia Square,1211,NSW,SYD,AU
Avalon,3212,VIC,GEEL,AU
AVON DOWNS,862,VIC,MEL,AU
Backmede,2470,NSW,BNOR,AU
Baerami Creek,2333,NSW,SYD,AU
Bagdad North,7030,TAS,TAS,AU
BAGOT,820,VIC,MEL,AU
Bahgallah,3312,VIC,WARR,AU
Bakewell,0832,NT,,AU
Balbarrup,6258,WA,MEL,AU
Balcatta,6914,WA,MEL,AU
Balcomba,4702,QLD,BNE,AU
Bald Nob,2370,NSW,SYD,AU
Balfes Creek,4820,QLD,TSV,AU
Balgowan,5573,SA,MEL,AU
Balickera,2324,NSW,NEWC,AU
Ball Bay,4741,QLD,BNE,AU
Ballajura,6066,WA,MEL,AU
Ballandean,4382,QLD,BNE,AU
Ballarat East,3350,VIC,BLR,AU
Ballarat Roadside Delivery,3352,VIC,BLR,AU
Ballaroo,4455,QLD,BNE,AU
Ballengarra,2441,NSW,COFF,AU
Ballina,2478,NSW,BNOR,AU
Balmain East,2041,NSW,SYD,AU
Balnarring,3926,VIC,MEL,AU
Balnarring Beach,3926,VIC,MEL,AU
Abbeywood,4613,QLD,SSC,AU
Abbotsford,3067,VIC,MEL,AU
Abels Bay,7112,TAS,TAS,AU
Aberfoyle Park,5159,SA,ADE,AU
Abermain,2326,NSW,NEWC,AU
Acacia Plateau,2476,NSW,,AU
Adamstown Heights,2289,NSW,NEWC,AU
Adelaide,5001,SA,ADE,AU
Adelaide,5800,SA,MEL,AU
Adelaide Lead,3465,VIC,BLR,AU
Adelaide Mail Centre,5875,SA,MEL,AU
Adelaide Mail Centre,5886,SA,MEL,AU
Adelaide Mail Centre,5895,SA,MEL,AU
Adelaide Mail Centre,5900,SA,MEL,AU
Adelaide River,0846,NT,,AU
Adjungbilly,2727,NSW,WAGG,AU
Airly,3851,VIC,GPS,AU
Airport West,3042,VIC,MEL,AU
Ajana,6532,WA,MEL,AU
Albany,6332,WA,,AU
Albany Dc,6331,WA,MEL,AU
ALBANY PO,6332,VIC,MEL,AU
Alberton,5014,SA,ADE,AU
Albion,3020,VIC,MEL,AU
Albion Park Rail,2527,NSW,WOL,AU
Alcomie,7330,TAS,TAS,AU
Aldinga Beach,5173,SA,ADE,AU
Aldoga,4694,QLD,BNE,AU
Alexandra,4740,QLD,BNE,AU
Alexandria,4825,QLD,BNE,AU
Allendale East,5291,SA,MEL,AU
Allendale North,5373,SA,ADE,AU
Allynbrook,2311,NSW,SYD,AU
Almaden,4871,QLD,BNE,AU
Alonnah,7150,TAS,TAS,AU
Aloomba,4871,QLD,BNE,AU
Altona,3018,VIC,GEEL,AU
Ambania,6632,WA,MEL,AU
Amby,4462,QLD,BNE,AU
American River,5221,SA,MEL,AU
Amity,4183,QLD,BNE,AU
Amor,3825,VIC,GPS,AU
Anambah,2320,NSW,NEWC,AU
Ancona,3715,VIC,YEA,AU
Anderson,3995,VIC,GPS,AU
Angourie,2464,NSW,COFF,AU
ANINDILYAKWA,822,VIC,MEL,AU
Anniebrook,6280,WA,MEL,AU
ANSONS BAY,7264,TAS,TAS,AU
Antwerp,3414,VIC,HOR,AU
Apollo Bay,3233,VIC,GEEL,AU
Apsley,2820,NSW,CWT,AU
Arbouin,4871,QLD,BNE,AU
Archerton,3723,VIC,YEA,AU
Archies Creek,3995,VIC,GPS,AU
Ardeer,3022,VIC,MEL,AU
Argalong,2720,NSW,WAGG,AU
Argents Hill,2449,NSW,COFF,AU
Argoon,2707,NSW,WAGG,AU
Armstrong Creek,4520,QLD,BNE,AU
Arncliffe,2205,NSW,SYD,AU
Arrawarra Headland,2456,NSW,COFF,AU
Artarmon,1570,NSW,SYD,AU
Arthur River,6315,WA,MEL,AU
Arthurs Seat,3936,VIC,MEL,AU
Ashby Heights,2463,NSW,COFF,AU
Ashfield,1800,NSW,SYD,AU
Ashgrove,4060,QLD,BNE,AU
Auburn,1835,NSW,SYD,AU
Avonsleigh,3782,VIC,YEA,AU
Ayr,4807,QLD,TSV,AU
Bacchus Marsh,3340,VIC,BLR,AU
Back Valley,5211,SA,ADE,AU
Badger Head,7270,TAS,TAS,AU
Badja,2630,NSW,BBAY,AU
Baffle Creek,4674,QLD,BNE,AU
BAINES,852,VIC,MEL,AU
BAKEWELL,832,VIC,MEL,AU
Balaclava,3183,VIC,MEL,AU
Balala,2358,NSW,SYD,AU
Bald Hills,4036,QLD,BNE,AU
Balladonia,6443,WA,MEL,AU
Ballimore,2830,NSW,CWT,AU
Ballyrogan,3375,VIC,BLR,AU
Balnagowan,4740,QLD,BNE,AU
Balranald,2715,NSW,SYD,AU
Balwyn North,3104,VIC,MEL,AU
Ban Ban Springs,4625,QLD,BNE,AU
Bangadang,2729,NSW,WAGG,AU
Bangalee,2541,NSW,BBAY,AU
Bango,2582,NSW,ACT,AU
Banksia,2216,NSW,SYD,AU
Banksia Park,5091,SA,ADE,AU
Bankstown,1888,NSW,SYD,AU
Bannerton,3549,VIC,MEL,AU
Bannockburn,4207,QLD,GOL,AU
Bogandilla,4425,QLD,BNE,AU
Bolivia,2372,NSW,SYD,AU
Bollier,4570,QLD,SSC,AU
Bolto,5238,SA,ADE,AU
Bolwarra,2320,NSW,NEWC,AU
Bombah Point,2423,NSW,PMAC,AU
Bombeeta,4871,QLD,BNE,AU
Bombira,2850,NSW,CWT,AU
Bon Accord,4625,QLD,BNE,AU
Bondi Junction Plaza,2022,NSW,SYD,AU
Bonnet Hill,7053,TAS,TAS,AU
Bonshaw,2361,NSW,SYD,AU
Bonville,2441,NSW,COFF,AU
